vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国CPI消费品当月同比2020年至2026年月度,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 2.3 | 2022-11-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 3.3 | 2022-10-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 4.3 | 2022-09-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 3.7 | 2022-08-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 4.0 | 2022-07-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 3.5 | 2022-06-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 3.0 | 2022-05-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 2.980207 | 2022-04-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.7 | 2022-03-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.7 | 2022-02-28 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.4 | 2022-01-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.5 | 2021-12-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 2.9 | 2021-11-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.6 | 2021-10-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.2 | 2021-09-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.3 | 2021-08-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.6 | 2021-07-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.1 | 2021-06-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.6 | 2021-05-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 1.0 | 2021-04-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.6 | 2021-03-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.3 | 2021-02-28 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -0.1 | 2021-01-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.2 | 2020-12-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | -1.0 | 2020-11-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 0.6 | 2020-10-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 2.6 | 2020-09-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 3.9 | 2020-08-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 4.3 | 2020-07-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 3.5 | 2020-06-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 3.3 | 2020-05-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 4.7 | 2020-04-30 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 6.2 | 2020-03-31 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 7.9 | 2020-02-29 | 国家统计局 |
| 191001485 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期同比增长率:月 | 月 | % | 7.7 | 2020-01-31 | 国家统计局 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.1 | 2026-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.6 | 2026-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.4 | 2026-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.3 | 2026-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.1 | 2026-02-28 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.3 | 2026-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.0 | 2025-12-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.6 | 2025-11-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.8 | 2025-10-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.2 | 2025-09-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.0 | 2025-08-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.6 | 2025-07-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.8 | 2025-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.5 | 2025-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.7 | 2025-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.6 | 2025-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.1 | 2025-02-28 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.1 | 2025-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.8 | 2024-12-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.0 | 2024-11-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.2 | 2024-10-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.5 | 2024-09-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.7 | 2024-08-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.5 | 2024-07-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.9 | 2024-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.0 | 2024-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.0 | 2024-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.6 | 2024-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.9 | 2024-02-29 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 98.3 | 2024-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 98.9 | 2023-12-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 98.6 | 2023-11-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 98.9 | 2023-10-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.1 | 2023-09-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.3 | 2023-08-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 98.7 | 2023-07-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.5 | 2023-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.7 | 2023-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.6 | 2023-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.5 | 2023-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.2 | 2023-02-28 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 102.8 | 2023-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 102.6 | 2022-12-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 102.3 | 2022-11-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.3 | 2022-10-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 104.3 | 2022-09-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.7 | 2022-08-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 104.0 | 2022-07-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.5 | 2022-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.0 | 2022-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.0 | 2022-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.7 | 2022-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.7 | 2022-02-28 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.4 | 2022-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.5 | 2021-12-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 102.9 | 2021-11-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.6 | 2021-10-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.2 | 2021-09-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.3 | 2021-08-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.6 | 2021-07-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.1 | 2021-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.6 | 2021-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.0 | 2021-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.6 | 2021-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.7 | 2021-02-28 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.9 | 2021-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.2 | 2020-12-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 99.0 | 2020-11-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 100.6 | 2020-10-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 102.6 | 2020-09-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.9 | 2020-08-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 104.3 | 2020-07-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.5 | 2020-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.3 | 2020-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 104.7 | 2020-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 106.2 | 2020-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 107.9 | 2020-02-29 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 107.7 | 2020-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 106.4 | 2019-12-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 106.5 | 2019-11-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 105.2 | 2019-10-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 104.0 | 2019-09-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.6 | 2019-08-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.4 | 2019-07-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.2 | 2019-06-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 103.2 | 2019-05-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 102.9 | 2019-04-30 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 102.4 | 2019-03-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.1 | 2019-02-28 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月 | 月 | - | 101.3 | 2019-01-31 | 聚源计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.00297 | 2019-01-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | -0.013659 | 2019-02-28 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.007874 | 2019-03-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.015795 | 2019-04-30 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.018756 | 2019-05-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.016749 | 2019-06-30 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.015717 | 2019-07-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.014691 | 2019-08-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.012658 | 2019-09-30 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.023346 | 2019-10-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.042074 | 2019-11-30 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.046214 | 2019-12-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.063179 | 2020-01-31 | 现有指标同比计算 |
| 110418270 | 中国:居民消费价格指数(CPI):上年同月=100:消费品类:当期值:月-同比 | 月 | % | 0.06726 | 2020-02-29 | 现有指标同比计算 |
