vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,MacroIndustryData,中国社会融资规模增量政府债券2015年至2026年月度数据,1,EDB取数,,,"| 指标代码 | 指标名称 | 频率 | 单位 | 值 | 日期 | 数据来源 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 36611.788246 | 2017-08-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 32192.045102 | 2017-07-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 22719.618592 | 2017-06-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 16148.301097 | 2017-05-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 9643.67687 | 2017-04-30 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 3704.74433 | 2017-03-31 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 474.761259 | 2017-02-28 | 聚源计算 |
| 185782350 | 中国:社会融资规模增量:政府债券:累计值:月 | 月 | 亿元 | 665.452612 | 2017-01-31 | 聚源计算 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 7683.0 | 2026-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 12236.0 | 2026-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9041.0 | 2026-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 11658.0 | 2026-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 14014.0 | 2026-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9764.0 | 2026-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6833.0 | 2025-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 12077.0 | 2025-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4852.0 | 2025-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 11893.0 | 2025-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 13672.0 | 2025-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 12482.0 | 2025-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 13508.0 | 2025-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 14585.0 | 2025-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9729.0 | 2025-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 14866.0 | 2025-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 16939.0 | 2025-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6933.0 | 2025-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 17566.0 | 2024-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 13089.0 | 2024-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 10495.0 | 2024-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 15357.0 | 2024-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 16177.0 | 2024-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6881.0 | 2024-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 8476.0 | 2024-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 12266.0 | 2024-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | -937.0 | 2024-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4626.0 | 2024-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6011.0 | 2024-02-29 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 2947.0 | 2024-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9324.0 | 2023-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 11512.0 | 2023-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 15638.0 | 2023-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9920.0 | 2023-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 11759.0 | 2023-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4109.0 | 2023-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5371.0 | 2023-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5571.0 | 2023-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4548.0 | 2023-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6015.0 | 2023-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 8138.0 | 2023-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4140.0 | 2023-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 2809.0 | 2022-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6520.0 | 2022-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 2791.0 | 2022-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5533.0 | 2022-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3045.0 | 2022-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3998.0 | 2022-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 16216.0 | 2022-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 10582.0 | 2022-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3912.0 | 2022-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 7074.0 | 2022-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 2722.0 | 2022-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6026.0 | 2022-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 11674.0 | 2021-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 8158.0 | 2021-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6167.0 | 2021-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 8066.0 | 2021-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 9738.0 | 2021-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 1820.0 | 2021-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 7508.0 | 2021-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6701.0 | 2021-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3739.0 | 2021-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3131.0 | 2021-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 1017.0 | 2021-02-28 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 2437.0 | 2021-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6973.0 | 2020-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4000.0 | 2020-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4931.0 | 2020-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 10116.0 | 2020-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 13788.0 | 2020-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5459.0 | 2020-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 7450.0 | 2020-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 11362.0 | 2020-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3357.0 | 2020-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6344.0 | 2020-03-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 1824.0 | 2020-02-29 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 7613.0 | 2020-01-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3738.165139 | 2019-12-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 1716.000176 | 2019-11-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 1870.890019 | 2019-10-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3776.968651 | 2019-09-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 5058.97418 | 2019-08-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6427.319731 | 2019-07-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 6867.265634 | 2019-06-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3856.722255 | 2019-05-31 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 4432.695017 | 2019-04-30 | 中国人民银行 |
| 150008052 | 中国:社会融资规模增量:政府债券:当期值:月 | 月 | 亿元 | 3412.184224 | 2019-03-31 | 中国人民银行 |
